"most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","retired_date","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","percent_population"
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7154591,35.14861084,"5601 Bogart Street Northwest",NA,65.6168,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7153987,35.14849712,"5601 Bogart Street Northwest","good",65.6168,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7156455,35.14805579,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7157306,35.1481161,"5601 Bogart Street Northwest","poor",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7157562,35.14821793,"5601 Bogart Street Northwest","fair",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7158885,35.14807023,"5601 Bogart Street Northwest","good",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7161358,35.14813934,"5601 Bogart Street Northwest","good",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7160979,35.14818744,"5601 Bogart Street Northwest","fair",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7162644,35.14825806,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7163722,35.14841903,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/22/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7164951,35.14822637,"5620 Foxford Court Northwest","dead/dying",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/22/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7175804,35.14992074,"6901 Bangor Avenue Northwest","dead/dying",NA,"introduced",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/22/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7181649,35.1508535,"7000 Grange Avenue Northwest","dead/dying",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/10/2020","inventory_date","Mountain ash","Sorbus","Albuquerque","New Mexico",-106.5882217,35.18844779,"9011 San Mateo Boulevard Northeast","good",65.6168,"no_info","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/10/2020","inventory_date","Mountain ash","Sorbus","Albuquerque","New Mexico",-106.5880776,35.18850807,"9011 San Mateo Boulevard Northeast","good",72.17848,"no_info","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3/27/2020","inventory_date","Russian olive","Elaeagnus angustifolia","Albuquerque","New Mexico",-106.6946815,35.15912371,"4900 Kachina Street Northwest","dead/dying",NA,"introduced",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/3/2020","inventory_date","Siberian elm","Ulmus pumila","Albuquerque","New Mexico",-106.6313876,35.07497921,"516 Spruce Street Southeast","fair",NA,"introduced",NA,"60.96 to 76.2 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/3/2020","inventory_date","Eastern red cedar","Juniperus virginiana","Albuquerque","New Mexico",-106.6313766,35.07603584,"500 Spruce Street Southeast","fair",164.042,"introduced","more than 18.29 m","60.96 to 76.2 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1/6/2020","inventory_date","Ginkgo","Ginkgo biloba","Albuquerque","New Mexico",-106.5807131,35.1259072,"3712 Alvarado Drive Northeast","fair",49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/18/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.5813853,35.09883441,"2000 Alvarado Drive Northeast",NA,45.93176,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2019","inventory_date","Chinese pistache","Pistacia chinensis","Albuquerque","New Mexico",-106.5817139,35.09990586,"2100 Alvarado Drive Northeast","good",32.8084,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2019","inventory_date","Boxelder","Acer negundo","Albuquerque","New Mexico",-106.5817206,35.09985319,"2000 Alvarado Drive Northeast","good",32.8084,"naturally_occurring","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2019","inventory_date","Chinese pistache","Pistacia chinensis","Albuquerque","New Mexico",-106.5818037,35.09985429,"2037 Alvarado Drive Northeast","good",29.52756,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2019","inventory_date","Crabapple","Malus","Albuquerque","New Mexico",-106.5817729,35.09990367,"2037 Alvarado Drive Northeast","good",36.08924,"no_info","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11/4/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.5818118,35.0999492,"2037 Alvarado Drive Northeast","good",49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/18/2019","inventory_date","Austrian pine","Pinus nigra","Albuquerque","New Mexico",-106.5421285,35.1236502,NA,NA,NA,"introduced",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
